"Date","Time","Revision","Operator","Job Number","Panel","Samples","Atten","Grade","Layers",

"12/03/2024","11:35:45",3200805.00,"Jose           ","6x4dec032024   ","Point 033 / 172",0,17,"66             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"2K Clearcoat   ","PU-O2100       ","NPA     ",0.00,0.00, 84096.,35.301, 37.702,"Terrane Khaki  ","6X4            ","PPG     ",0.00,0.00, 91270.,12.646, 14.658,"Dk Grey Prime  ","HPCP1766       ","PPG     ",0.00,0.00, 96202.,35.634, 43.537,"E-Coat         ","6670ZR         ","PPG     ",0.00,0.00,108730.,14.157, 19.548,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"12/03/2024","11:35:48",3200805.00,"Jose           ","6x4dec032024   ","Point 034 / 172",0,17,"70             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"2K Clearcoat   ","PU-O2100       ","NPA     ",0.00,0.00, 84096.,39.134, 41.795,"Terrane Khaki  ","6X4            ","PPG     ",0.00,0.00, 91270.,13.533, 15.686,"Dk Grey Prime  ","HPCP1766       ","PPG     ",0.00,0.00, 96202.,36.716, 44.859,"E-Coat         ","6670ZR         ","PPG     ",0.00,0.00,108730.,14.242, 19.666,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"12/03/2024","11:36:31",3200805.00,"Jose           ","6x4dec032024   ","Point 035 / 172",0,17,"57             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"2K Clearcoat   ","PU-O2100       ","NPA     ",0.00,0.00, 84096.,42.278, 45.154,"Terrane Khaki  ","6X4            ","PPG     ",0.00,0.00, 91270.,14.119, 16.365,"Dk Grey Prime  ","HPCP1766       ","PPG     ",0.00,0.00, 96202.,33.975, 41.510,"E-Coat         ","6670ZR         ","PPG     ",0.00,0.00,108730.,13.464, 18.592,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"12/03/2024","11:36:35",3200805.00,"Jose           ","6x4dec032024   ","Point 036 / 172",0,17,"61             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"2K Clearcoat   ","PU-O2100       ","NPA     ",0.00,0.00, 84096.,41.043, 43.835,"Terrane Khaki  ","6X4            ","PPG     ",0.00,0.00, 91270.,13.038, 15.112,"Dk Grey Prime  ","HPCP1766       ","PPG     ",0.00,0.00, 96202.,34.003, 41.544,"E-Coat         ","6670ZR         ","PPG     ",0.00,0.00,108730.,14.082, 19.446,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"12/03/2024","11:36:38",3200805.00,"Jose           ","6x4dec032024   ","Point 037 / 172",0,17,"74             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"2K Clearcoat   ","PU-O2100       ","NPA     ",0.00,0.00, 84096.,41.769, 44.610,"Terrane Khaki  ","6X4            ","PPG     ",0.00,0.00, 91270.,11.663, 13.519,"Dk Grey Prime  ","HPCP1766       ","PPG     ",0.00,0.00, 96202.,32.961, 40.271,"E-Coat         ","6670ZR         ","PPG     ",0.00,0.00,108730.,14.277, 19.715,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"12/03/2024","11:37:42",3200805.00,"Jose           ","6x4dec032024   ","Point 038 / 172",0,17,"64             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"2K Clearcoat   ","PU-O2100       ","NPA     ",0.00,0.00, 84096.,44.172, 47.176,"Terrane Khaki  ","6X4            ","PPG     ",0.00,0.00, 91270.,11.655, 13.510,"Dk Grey Prime  ","HPCP1766       ","PPG     ",0.00,0.00, 96202.,37.194, 45.443,"E-Coat         ","6670ZR         ","PPG     ",0.00,0.00,108730.,16.064, 22.183,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"12/03/2024","11:37:49",3200805.00,"Jose           ","6x4dec032024   ","Point 039 / 172",0,17,"64             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"2K Clearcoat   ","PU-O2100       ","NPA     ",0.00,0.00, 84096.,35.250, 37.648,"Terrane Khaki  ","6X4            ","PPG     ",0.00,0.00, 91270.,14.074, 16.314,"Dk Grey Prime  ","HPCP1766       ","PPG     ",0.00,0.00, 96202.,36.001, 43.985,"E-Coat         ","6670ZR         ","PPG     ",0.00,0.00,108730.,16.241, 22.427,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"12/03/2024","11:38:00",3200805.00,"Jose           ","6x4dec032024   ","Point 040 / 172",0,17,"66             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"2K Clearcoat   ","PU-O2100       ","NPA     ",0.00,0.00, 84096.,34.359, 36.696,"Terrane Khaki  ","6X4            ","PPG     ",0.00,0.00, 91270.,11.520, 13.353,"Dk Grey Prime  ","HPCP1766       ","PPG     ",0.00,0.00, 96202.,26.481, 32.353,"E-Coat         ","6670ZR         ","PPG     ",0.00,0.00,108730.,16.582, 22.897,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"12/03/2024","11:38:23",3200805.00,"Jose           ","6x4dec032024   ","Point 041 / 172",0,17,"68             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"2K Clearcoat   ","PU-O2100       ","NPA     ",0.00,0.00, 84096.,43.554, 46.516,"Terrane Khaki  ","6X4            ","PPG     ",0.00,0.00, 91270.,15.978, 18.520,"Dk Grey Prime  ","HPCP1766       ","PPG     ",0.00,0.00, 96202.,32.362, 39.539,"E-Coat         ","6670ZR         ","PPG     ",0.00,0.00,108730.,16.868, 23.293,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"12/03/2024","11:38:34",3200805.00,"Jose           ","6x4dec032024   ","Point 042 / 172",0,17,"93             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"2K Clearcoat   ","PU-O2100       ","NPA     ",0.00,0.00, 84096.,39.591, 42.284,"Terrane Khaki  ","6X4            ","PPG     ",0.00,0.00, 91270.,14.399, 16.691,"Dk Grey Prime  ","HPCP1766       ","PPG     ",0.00,0.00, 96202.,30.357, 37.089,"E-Coat         ","6670ZR         ","PPG     ",0.00,0.00,108730.,16.627, 22.960,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
